ConstituentID;DisplayName;Nationality;Gender;BeginDate;EndDate
5577;Carlos Maria Miguel Squirru;Argentine;Male;1934;0
5578;Jerzy Srokowski;Polish;Male;1910;1971
5579;St. Armand;American;nan;0;0
5580;Friedrich St. Florian;American;Male;1932;0
5581;J. Allen St. John;American;Male;1872;1957
5583;Peter Stackpole;American;Male;1913;0
5585;Erich Walter Stadler;German;Male;1927;1968
5586;Hans Staeger;German;Male;1928;0
5587;A. H. Staf;American;nan;0;0
5588;Lawrence Stafford;American;Male;1938;0
5589;Otto Arpke;German;Male;1886;1943
5590;Paul Stahr;American;Male;1883;1953
5591;Paul Staiger;American;Male;1941;0
5592;Marcin Stajewski;Polish;Male;1938;0
5593;Carl-Harry Stålhane;Swedish;Male;1920;1990
5594;Eric Staller;American;Male;1947;0
5595;Jan Staller;American;Male;1952;0
5596;Ted Stamm;American;Male;1944;1984
5597;Theodoros Stamos;American;Male;1922;1997
5598;Percy Stamp;British;Male;0;0
5599;Julian Stanczak;American;Male;1928;2017
5600;Eugeniusz Stankiewicz;Polish;Male;1942;0
5601;Richard Stankiewicz;American;Male;1922;1983
5603;Robert Stanley;American;Male;1932;1997
5605;Larry Stark;American;Male;1940;0
5606;Ottomar Starke;German;Male;1886;1962
5607;Franciszek Starowieyski;Polish;Male;1930;2009
5609;Andrew Stasik;American;Male;1932;0
5610;David Staub;American;Male;1914;0
5611;Alex R. Stavenitz;Nationality unknown;Male;1901;1960
5612;Nikos Stavroulakis;Greek;Male;1932;2017
5613;Henryk Stazewski;Polish;Male;1894;1988
5614;Inge Steckert;German;Female;0;0
5615;W. J. Steegles;British;nan;0;0
5616;Kim Steele;American;Female;0;0
5617;Vernon P. Steele;American;Male;0;0
5618;Bernard Steffen;American;Male;1907;1980
5619;Hans Hermann Steffens;German;Male;0;0
5620;J. L. Steg;American;Male;1922;2001
5621;Milly Steger;German;Female;1881;1948
5622;Harold Steggles;British;Male;1910;1938
5623;Edward Steichen;American;Male;1879;1973
5625;Joël Stein;French;Male;1926;2012
5626;Walter Stein;American;Male;1924;0
5627;Saul Steinberg;American;Male;1914;1999
5628;Steiner;Swiss;nan;0;0
5629;Michael Steiner;American;Male;1942;0
5630;Paul Steiner;American;Male;0;0
5631;Ralph Steiner;American;Male;1899;1986
5632;Otto Steinert;German;Male;1915;1978
5633;Jakob Steinhardt;Israeli;Male;1887;1968
5634;Théophile-Alexandre Steinlen;French;Male;1859;1923
5635;Joe Steinmetz;American;Male;1905;1985
5636;Mark Steinmetz;American;Male;1961;0
5637;Pat Steir;American;Female;1940;0
5638;Heinrich Steiuer;nan;Male;0;0
5639;Juan Carlos Stekelman;Argentine;Male;1936;0
5640;Frank Stella;American;Male;1936;0
5641;Joseph Stella;American;Male;1877;1946
5642;Vladimir Stenberg;Russian;Male;1899;1982
5643;Varvara Stepanova;Russian;Female;1894;1958
5644;Gary Stephan;American;Male;1942;0
5645;Stephany;French;nan;0;0
5646;Magnus Stephensen;Danish;Male;1903;1984
5647;David Stephenson;American;Male;1955;0
5648;David Sterenberg;American;Male;0;0
5649;Joseph Sterling;American;Male;1936;2010
5650;Bert Stern;American;Male;1929;0
5651;Marina Stern;American;Female;1928;2017
5652;Harry Sternberg;American;Male;1904;2001
5653;Hedda Sterne;American;Female;1910;0
5654;Maurice Sterne;American;Male;1877;1957
5655;Albert Sterner;American;Male;1863;1946
5656;Joel Sternfeld;American;Male;1944;0
5657;Florine Stettheimer;American;Female;1871;1944
5658;Louis Stettner;American;Male;1922;2016
5659;Stevens;Nationality unknown;nan;0;0
5660;Norman Stevens;British;Male;1937;1988
5661;Rex A. Stevens;American;Male;0;0
5664;Alfred Stieglitz;American;Male;1864;1946
5665;Clyfford Still;American;Male;1904;1980
5666;Nanny Still;Finnish;Female;1926;2009
5667;William James Stillman;American;Male;1828;1901
5668;James Stirling;British;Male;1926;1992
5669;Mark Stock;American;Male;1951;0
5670;Stockmarr;Finnish;nan;0;0
5671;Niklaus Stoecklin;Swiss;Male;1896;1982
5673;Walter Stöhrer;German;Male;1937;0
5674;Ezra Stoller;American;Male;1915;2004
5675;Gunta Stölzl;Swiss;Female;1897;1983
5676;Edward Durell Stone;American;Male;1902;1978
5677;Jim Stone;American;Male;1947;0
5678;Marly Stone;American;Female;1944;0
5679;David Storey;American;Male;1948;0
5681;John Storrs;American;Male;1885;1956
5682;Lou Stoumen;American;Male;1917;0
5683;Myron Stout;American;Male;1908;1987
5684;John Stram;American;Male;1939;0
5685;Paul Strand;American;Male;1890;1976
5686;Frank D. Stratton;American;Male;0;0
5687;Karl Ludwig Straub;German;Male;1900;1997
5688;Théodore (Stravinsky) Strawinsky;French;Male;1907;1989
5689;Thelma Johnson Streat;American;Female;1911;1959
5690;Tal Streeter;American;Male;1934;2014
5691;Max Arthur Stremel;German;Male;0;0
5692;Marianne Strengell;American;Female;1909;1998
5693;Oskar Strnad;Austrian;Male;1879;1935
5694;Gerda Strömberg;Swedish;Female;0;1960
5695;James Strombotne;American;Male;1934;0
5696;Jonathan W. Strong;American;Male;0;0
5697;F. Strothmann;American;nan;0;0
5698;Hermann Struck;German;Male;0;0
5699;Karl Struss;American;Male;1886;1981
5700;Wladyslaw Strzemiński;Polish;Male;1893;1952
5701;Ian Stuart;Irish;Male;1926;0
5702;Michelle Stuart;American;Female;1938;0
5703;A. Stuart-Hill;British;nan;0;0
5704;Fritz Stuckenberg;German;Male;1881;1944
5705;Stanislaus Stückgold;Polish;Male;1880;1933
5706;Studio;British;nan;0;0
5707;Studio Opi;Italian;nan;1955;0
5708;Studio Tg;Italian;nan;0;0
5709;Juliusz Studnicki;Polish;Male;1906;1978
5710;Walter Stuempfig;American;Male;1914;1970
5711;Jock Sturges;American;Male;1947;0
5712;Jan Stussy;American;Male;1921;1990
5713;Jindřich Štyrský;Czech;Male;1899;1942
5714;Harry Suchland;German;Male;1925;0
5715;Josef Sudek;Czech;Male;1896;1976
5716;Richard Tum Suden;American;Male;1937;0
5717;Jean-Pierre Sudre;French;Male;1921;0
5718;Nikolai Suetin;Russian;Male;1897;1954
5719;Kumi Sugaï;Japanese;Male;1919;1996
5720;George Sugarman;American;Male;1912;1999
5721;Hiroshi Sugimoto;Japanese;Male;1948;0
5722;Tsune Sugimura;Japanese;Male;1926;1991
5723;Louis Sullivan;American;Male;1856;1924
5724;Patrick J. Sullivan;American;Male;1894;1967
5726;Donald Sultan;American;Male;1951;0
5727;Larry Sultan;American;Male;1946;2009
5728;Martin Sumers;American;Male;1922;0
5729;Carol Summers;American;Male;1925;0
5730;Hugo Summerville;American;Male;1885;1948
5731;H. Y. Sümmons;American;nan;0;0
5732;Britt-Louise Sundell;Swedish;Female;1928;0
5733;Superstudio;Italian;nan;1966;1982
5735;Léopold Survage;French;Male;1879;1968
5736;Richard Süssmuth;German;Male;1900;1974
5737;Miroslav Sutej;Yugoslav;Male;1936;2005
5738;Hugo Suter;Swiss;Male;1943;0
5739;Graham Sutherland;British;Male;1903;1980
5740;Ladislav Sutnar;American;Male;1897;1976
5741;William B. Suttle;American;Male;0;0
5742;William Stephen Sutton;American;Male;1956;0
5743;Mark di Suvero;American;Male;1933;0
5745;Mutsumi Suzuki;Japanese;Male;1942;0
5746;Yoshio Suzuki;Japanese;Male;0;0
5747;Max Walter Svanberg;Swedish;Male;1912;0
5748;Peter Svannäs;Swedish;Male;0;0
5749;Luke Swank;American;Male;1890;1944
5750;George A. Swanson;American;Male;1908;0
5753;Waldemar Swierzy;Polish;Male;1931;0
5755;Henry F. Swift;American;Male;1890;1960
5756;John Swope;American;Male;1908;1979
5757;Maltby Sykes;American;Male;1911;1992
5759;Joseph Szabo;American;Male;1944;0
5760;Steve Szabo;American;Male;1940;2000
5761;Sam Szafran;French;Male;1934;0
5762;Karen Szekessy;German;Female;1939;0
5763;Geza Szobel;French;Male;1905;1963
5764;István Szony;Hungarian;nan;0;0
5765;Tomasz Szulecki;Polish;Male;1953;0
5766;Fernando Szyszlo;Peruvian;Male;1925;0
5767;Carol Block Taback;American;Female;1941;1980
5768;Ivan Tabakovic;Yugoslav;Male;1898;1977
5769;Maurice Tabard;French;Male;1897;1984
5770;Isaiah West Taber;American;Male;1830;1912
5771;Jun Tabohashi;Japanese;Male;1931;0
5772;Yudio Tabuchi;Japanese;Male;0;0
5773;Yasse Tabuchi;Japanese;Male;1921;2009
5774;Augustus Vincent Tack;American;Male;1870;1949
5775;Kenji Tadamoto;Japanese;Male;1926;0
5776;Tadasky (Tadasuke Kuwayama);Japanese;Male;1935;0
5777;Sophie Taeuber-Arp;Swiss;Female;1889;1943
5778;Walter Tafelmaier;German;Male;1935;0
5779;Tägtström;Swedish;nan;0;0
5781;Shinkichi G. Tajiri;American;Male;1923;2009
5782;Takahama Kazuhide;Japanese;Male;1930;0
5783;Rikio Takahashi;Japanese;Male;1917;1999
5784;Peter Takal;American;Male;1905;1995
5785;Jiro Takamatsu;Japanese;Male;1936;1998
5787;Takeshi Imaji;Japanese;Male;1913;0
5789;Takis;French;Male;1925;0
5790;René Pierre Tal-Coat;French;Male;1905;1985
5791;William Henry Fox Talbot;British;Male;1800;1877
5792;John Talleur;American;Male;1925;2001
5793;Reuben Tam;American;Male;1916;1991
5795;Rufino Tamayo;Mexican;Male;1899;1991
5796;Olli Aninbaum;Finnish;nan;0;0
5797;Shigeru Tamura;Japanese;Male;1909;1987
5798;Shisui Tanahashi;Japanese;Male;1906;1991
5799;Atsuko Tanaka;Japanese;Female;1932;2005
5800;Ikko Tanaka;Japanese;Male;1930;2002
5801;Tokutaro Tanaka;Japanese;Male;1909;1989
5803;Tancredi;Italian;Male;1927;1964
5804;Yves Tanguy;American;Male;1900;1955
5805;Richard Taninbaum;American;Male;1952;0
5806;Dorothea Tanning;American;Female;1910;2012
5807;Mark Tansey;American;Male;1949;0
5808;Jorge Tapia;Argentine;Male;1940;0
5809;Antoni Tàpies;Spanish;Male;1923;2012
5810;Leopoldo Tartarini;Italian;Male;1932;0
5811;Vladimir Tatlin;Russian;Male;1885;1953
5812;Taupin;French;nan;0;0
5813;Vittorio Tavernari;Italian;Male;1885;1987
5814;Lenore Tawney;American;Female;1907;2007
5815;Al Taylor;American;Male;1948;1999
5816;Jack Taylor;American;Male;1897;1983
5817;Prentiss Taylor;American;Male;1907;1991
5818;Richard Taylor;Canadian;Male;1902;1970
5819;Terrance Nelson Taylor;American;Male;1937;0
5820;Sergei Vasilevich Tchekonine;Russian;Male;1879;1936
5821;Pavel Tchelitchew;American;Male;1898;1957
5822;Lou Tchimoukow;French;nan;0;0
5823;Jerzy Tchorzewski;Polish;Male;1928;1999
5824;Walter Dorwin Teague;American;Male;1883;1960
5825;Tebo (Angel Torres Jaramillo);Mexican;Male;1916;1937
5826;Karel Teige;Czech;Male;1900;1951
5827;Hervé Télémaque;Haitian;Male;1937;0
5829;Eugenio Tellez;Chilean;Male;1939;0
5830;Franco Teodoro;Italian;Male;1939;0
5831;Georgiy Teptsov;Russian;Male;0;0
5832;Rouben Ter-Arutunian;American;Male;1920;1992
5833;Teratani Keijiro;Japanese;Male;0;0
5834;Eduardo Terrazas;Mexican;Male;1936;0
5835;Emilio Terry;French;Male;1890;1969
5836;Edmund Teske;American;Male;1911;1996
5837;Peter Teubner;American;Male;0;0
5838;Walther Teutsch;German;Male;1883;1964
5839;Nahum Tevet;Israeli;Male;1946;0
5840;Félix Teynard;French;Male;1817;1892
5843;Bob Thall;American;Male;1948;0
5844;Joan Josep Tharrats;Spanish;Male;1918;2001
5845;Forrest Thayer;American;Male;1919;1951
5846;Julia Thecla;American;Female;1896;1973
5847;Pär G. Thelander;Swedish;Male;1936;0
5848;Francois Thépot;French;Male;1925;0
5849;Wayne Thiebaud;American;Male;1920;0
5850;E. Thiebault;French;Male;0;0
5851;Monsieur Thiebault;French;Male;0;0
5852;Félix Thiollier;French;Male;1842;1914
5853;Hans Thoma;German;Male;1839;1924
5854;Byron Thomas;American;Male;1902;1978
5856;André Thomkins;Swiss;Male;1930;1985
5857;Thompson;British;nan;0;0
5858;Bob Thompson;American;Male;1937;1966
5859;Francis Thompson;American;Male;1908;2003
5860;Jerry L. Thompson;American;Male;1945;0
5861;Mildred Thompson;American;Female;1935;2003
5862;William Thompson;American;Male;1919;0
5863;John Thomson;British;Male;1837;1921
5865;Gebrüder Thonet, company design;Austrian;nan;1853;0
5866;Michael Thonet;Austrian;Male;1796;1871
5867;Esias Thoren;Swedish;Male;1901;1981
5868;Leslie Thornton;American;Female;1951;0
5869;James Thurber;American;Male;1894;1961
5870;Kn Thurlbeck;American;Male;1947;0
5871;Øistein Thurman;Norwegian;Male;0;0
5873;George A. Tice;American;Male;1938;0
5874;Anna Ticho;Israeli;Female;1894;1981
5875;Rolf Tietgens;Nationality unknown;Male;0;0
5876;Louis Comfort Tiffany;American;Male;1848;1933
5877;Sidney Tillim;American;Male;1925;2001
5878;William Tillyer;British;Male;0;0
5879;Joe Tilson;British;Male;1928;0
5880;Elizabeth Timberman;American;Female;1908;0
5881;Walasse Ting;American;Male;1929;2010
5882;Jean Tinguely;Swiss;Male;1925;1991
5883;Bruce Tippett;British;Male;1933;0
5884;William Tipton;American;Male;1850;1929
5885;Henriette Tirman;French;Female;1875;1952
5886;Zdravko Tisljar;Yugoslav;nan;1938;0
5887;Gérard Titus-Carmel;French;Male;1942;0
5888;Hap Tivey;American;Male;1947;0
5889;Mark Tobey;American;Male;1890;1976
5890;Masatoshi Toda;Japanese;Male;1948;0
5891;Charles S. Todd;American;Male;1885;1950
5892;Francisco Toledo;Mexican;Male;1940;0
5893;Hans Tollin;Swedish;Male;1947;0
5894;Henryk Tomaszewski;Polish;Male;1914;2005
5895;Shomei Tomatsu;Japanese;Male;1930;2012
5896;Bradley Walker Tomlin;American;Male;1899;1953
5898;Kristians Tonny;Dutch;Male;1907;1977
5899;Tontsere;Spanish;nan;0;0
5900;George Tooker;American;Male;1920;2011
5901;Jan Toorop;Dutch;Male;1858;1928
5902;Roland Topor;French;Male;1938;1997
5903;Mario Toral;Chilean;Male;1934;0
5904;Helen Torr;American;Female;1886;1967
5907;Joaquín Torres-García;Uruguayan;Male;1874;1949
5908;Endre Tót;Hungarian;Male;1937;0
5909;Carl Toth;American;Male;1947;0
5910;Henri de Toulouse-Lautrec;French;Male;1864;1901
5911;William N. Touzani;Moroccan;Male;1954;0
5912;Harold Tovish;American;Male;1921;0
5913;Harold Barling Town;Canadian;Male;1924;1991
5914;Hugh Townley;American;Male;1923;2008
5915;Townsend;Nationality unknown;nan;0;0
5916;Toyen (Marie Čermínová);Czech;Female;1902;1980
5917;Tomonori Toyofuku;Japanese;Male;1925;0
5918;Karl Trabert;German;Male;0;1968
5920;Trace And Warner;American;nan;0;0
5921;Neil Trager;American;Male;1947;0
5922;Philip Trager;American;Male;1935;0
5923;Michael Train;American;Male;0;0
5924;Walter G. Treadwell;American;Male;0;0
5925;Steven Trefonides;American;Male;1926;0
5926;Marc Treib;American;Male;1943;0
5927;Adolph Treidler;American;Male;1886;1981
5928;Joyce Treiman;American;Female;1922;1991
5929;Otto Treumann;Dutch;Male;1919;0
5930;Julien Trevelyan;British;Male;0;0
5932;Hann Trier;German;Male;1915;1999
5933;Rosemarie Trockel;German;Female;1952;0
5934;Rudi Tröger;German;Male;1929;0
5935;Heinz Trökes;German;Male;0;0
5936;Henri Tronquoy;French;Male;0;0
5937;Clovis Trouille;French;Male;1899;1975
5938;Ernest  Trova;American;Male;1927;2009
5939;David Trowbridge;American;Male;1945;0
5940;Niklaus Troxler;Swiss;Male;1947;0
5941;Knut Troysaa;Norwegian;Male;0;0
5943;David True;American;Male;1942;0
5944;Van Day Truex;American;Male;1904;1979
5945;Anne Truitt;American;Female;1921;2004
5947;Georg Trump;German;Male;1896;1985
5948;Nina Tryggvadottir;Icelandic;Female;1913;1968
5949;Donna Tryon;American;Female;0;0
5950;George Tscherny;American;Male;1924;0
5951;Jan Tschichold;Swiss;Male;1902;1974
5952;Augustin Tschinkel;Czech;Male;1905;0
5953;Oswald Tschirtner;Austrian;Male;1920;2007
5954;Lill Tschudi;Swiss;Female;1911;2004
5955;Tokiyoshi Tsubouchi;Japanese;Male;1946;0
5956;Hiromi Tsuchida;Japanese;Male;1939;0
5957;Hajime Tsuchisaki;Japanese;Male;0;0
5958;Tsuchiya Rakusan;Japanese;Male;1896;1976
5959;Akihiko Tsukamoto;Japanese;Male;1952;0
5960;Albert Tucker;Australian;Male;1914;1999
5961;Nicolas Tucker;British;Male;1948;0
5962;Toba Tucker;American;Female;1935;0
5963;William Tucker;American;Male;1935;0
5964;Akesuk Tudlik;Canadian Inuit;Male;1890;1966
5965;Rafael Tufiño;American;Male;1922;2008
5966;Jakob Tuggener;Swiss;Male;1904;1988
5967;Thomas Tulis;American;Male;1961;0
5968;Igael Tumarkin;Israeli;Male;1933;0
5969;John Tunnard;British;Male;1900;1971
5970;Earl S. Tupper;American;Male;1907;1983
5971;Albert Angus Turbayne;American;Male;1866;1940
5972;Giulio Turcato;Italian;Male;1912;1995
5974;Marko Turk;Slovenian;Male;1920;1999
5975;William Turnbull;British;Male;1922;2012
5976;Roberto Turnbull Buenrostro;Mexican;Male;1959;0
5977;Turner;Nationality unknown;nan;0;0
5978;Alwyn Scott Turner;American;Male;1936;0
5979;Alan Turner;American;Male;1943;0
5980;Benjamin Brecknell Turner;British;Male;1815;1894
5981;James Turrell;American;Male;1943;0
5982;Anne Turyn;American;Female;1954;0
5983;Richard Tuttle;American;Male;1941;0
5984;Léon H. Tutundjian;Russian;Male;1905;1968
5985;Guenter Tuzina;German;Male;1951;0
5986;Vilhelm Tveteraas;Norwegian;Male;0;0
5987;Stanley Twardowicz;American;Male;1917;2008
5988;Cy Twombly;American;Male;1928;2011
5989;Jack Tworkov;American;Male;1900;1982
5990;Alexei Alexandrovich Tyapushkin;Russian;Male;1919;0
5992;Richard Tyler;American;Male;0;0
5993;Nikolai Andreevich Tyrsa;Russian;Male;0;0
5994;Edgard Tytgat;Belgian;Male;1879;1957
5997;Raoul Ubac;Belgian;Male;1910;1985
5998;Ansei Uchima;American;Male;1921;2000
5999;Günther Uecker;German;Male;1930;0
6000;Shoji Ueda;Japanese;Male;1913;2000
6001;Jerry Uelsmann;American;Male;1934;0
6002;Maria Uhden;German;Female;1892;1918
6003;Ulla af Ugglas;Swedish;Female;1916;0
6004;Doris Ulmann;American;Female;1884;1934
6005;Timm Ulrichs;German;Male;1940;0
6006;Umbo (Otto Umbehr);German;Male;1902;1980
6008;Underwood and Underwood;American;nan;1880;1934
6009;G. F. Underwood;American;nan;0;0
6010;Hans Unger;British;Male;1872;1936
6011;Unknown Designer;Nationality unknown;nan;0;0
6013;Unknown Designer;French;nan;0;0
6014;Unknown Designer;German;nan;0;0
6015;Unknown Designer;Dutch;nan;0;0
6016;Unknown Designer;Italian;nan;0;0
6017;Unknown Designer;Mexican;nan;0;0
6018;Unknown Designer;Swedish;nan;0;0
6019;Unknown Designer;Swiss;nan;0;0
6020;Unknown Designer;British;nan;0;0
6021;Unknown Designer;American;nan;0;0
6024;Unkn Graph Art/des - British;British;nan;0;0
6025;Unkn Graph Art/des - Russian;Russian;nan;0;0
6026;Unknown Artist;Nationality unknown;nan;0;0
6030;Unknown Artist;American;nan;0;0
6031;Unknown sculptor;nan;nan;0;0
6032;Unknown Graphic Artist;American;nan;1895;1946
6033;Max Unold;German;Male;1885;1964
6034;Richard Upton;American;Male;1931;2013
6035;José Urbach;American;Male;1940;0
6036;Albert Urban;American;Male;1909;1959
6037;Reva Urban;American;Female;1925;1987
6038;Maciej Urbaniec;Polish;Male;1925;2004
6039;Graziella Urbinati;Italian;Female;1927;0
6040;Tony Urquhart;Canadian;Male;1934;0
6041;Demetrio Urruchúa;Argentine;Male;1902;1978
6042;Mario Urteaga;Peruvian;Male;1875;1957
6043;Kenji Ushiku;Japanese;Male;1922;0
6044;Kaworu Usui;Japanese;Male;0;0
6045;Ilya Utkin;Russian;Male;1955;0
6046;Maurice Utrillo;French;Male;1883;1955
6047;Burk Uzzle;American;Male;1938;0
6048;John Vachon;American;Male;1914;1975
6049;Polygnotos G. Vagis;American;Male;1894;1965
6050;Laurence Vail;American;Male;1891;1968
6051;Roger Vail;American;Male;1945;0
